a 2
a 3
a 4
a 5
a 6
a 7
b 2
b 3
b 4
b 5
b 6
b 7
c 2
c 3
c 4
c 5
c 6
c 7
d 2
d 3
d 4
d 5
d 6
d 7
e 2
e 3
e 4
e 5
e 6
e 7
f 2
f 3
f 4
f 5
f 6
f 7
g 2
g 3
g 4
g 5
g 6
g 7
h 2
h 3
h 4
rook f e 8
rook f f 1
rook f f 2
rook f f 3
rook f f 4
rook f f 5
rook f f 6
rook f f 7
rook f f 8
rook f g 1
rook f g 2
rook f g 3
rook f g 4
rook f g 5
rook f g 6
rook f g 7
rook f g 8
rook f h 1
rook f h 2
rook f h 3
rook f h 4
rook f h 5
rook f h 6
rook f h 7
rook f h 8
rook g a 1
rook g a 2
rook g a 3
rook g a 4
rook g a 5
rook g a 6
rook g a 7
rook g a 8
rook g b 1
rook g b 2
rook g b 3
rook g b 4
rook g b 5
rook g b 6
rook g b 7
rook g b 8
rook g c 1
rook g c 2
rook g c 3
rook g c 4
rook g c 5
rook g c 6
rook g c 7
rook g c 8
rook g d 1
rook g d 2
rook g d 3
rook g d 4
rook g d 5
rook g d 6
rook g d 7
rook g d 8
rook g e 1
rook g e 2
rook g e 3
rook g e 4
rook g e 5
rook g e 6
rook g e 7
rook g e 8
rook g f 1
rook g f 2
rook g f 3
rook g f 4
rook g f 5
rook g f 6
rook g f 7
rook g f 8
rook g g 1
rook g g 2
rook g g 3
rook g g 4
rook g g 5
rook g g 6
rook g g 7
rook g g 8
rook g h 1
rook g h 2
rook g h 3
rook g h 4
rook g h 5
rook g h 6
rook g h 7
rook g h 8
rook h a 1
rook h a 2
rook h a 3
rook h a 4
rook h a 5
rook h a 6
rook h a 7
rook h a 8
rook h b 1
rook h b 2
rook h b 3
rook h b 4
rook h b 5
rook h b 6
rook h b 7
rook h b 8
rook h c 1
rook h c 2
rook h c 3
rook h c 4
rook h c 5
rook h c 6
rook h c 7
rook h c 8
rook h d 1
rook h d 2
rook h d 3
rook h d 4
rook h d 5
rook h d 6
rook h d 7
rook h d 8
rook h e 1
rook h e 2
rook h e 3
rook h e 4
rook h e 5
rook h e 6
rook h e 7
rook h e 8
rook h f 1
rook h f 2
rook h f 3
rook h f 4
rook h f 5
rook h f 6
rook h f 7
rook h f 8
rook h g 1
rook h g 2
rook h g 3
rook h g 4
rook h g 5
rook h g 6
rook h g 7
rook h g 8
rook h h 1
rook h h 2
rook h h 3
rook h h 4
rook h h 5
rook h h 6
rook h h 7
rook h h 8
rook takes
takes pawn
takes rook
a takes b 2
a takes b 3
a takes b 4
a takes b 5
a takes b 6
a takes b 7
b takes a 2
b takes a 3
b takes a 4
b takes a 5
b takes a 6
b takes a 7
b takes c 2
b takes c 3
b takes c 4
b takes c 5
b takes c 6
